How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
100-500,1.0,1.0,Yes,,No,,"Yes, I experienced",No,Possibly,Possibly,27.0,Female,United Kingdom,,United Kingdom,
100-500,1.0,1.0,Yes,it may require specific measures to accomodate my needs,No,it may require specific measures to accomodate my needs,"Yes, I observed",No,Possibly,Possibly,31.0,male,United Kingdom,,United Kingdom,
25-Jun,1.0,1.0,Maybe,I will sometimes bring up my psoriasis just as an explanation why when I have a flare up I wear a hat most of the time,No,I will sometimes bring up my psoriasis just as an explanation why when I have a flare up I wear a hat most of the time,"Yes, I experienced",Yes,Yes,Yes,36.0,male,United States of America,Missouri,United States of America,Missouri
More than 1000,1.0,1.0,No,Anything that may hurt my chances to be hired is not going to be provided,No,Anything that may hurt my chances to be hired is not going to be provided,Maybe/Not sure,No,No,Yes,22.0,Male,United States of America,Washington,United States of America,Washington
,,,Maybe,"It depends. it's not something you start with at an interview, get the job first, then share. I have before.",No,"It depends. it's not something you start with at an interview, get the job first, then share. I have before.",No,No,Yes,No,52.0,female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,0.0,Maybe,It would depend on what it is..,No,It would depend on what it is..,"Yes, I observed",Maybe,No,No,30.0,male,United States of America,California,United States of America,California
25-Jun,1.0,1.0,No,It seems like it would be a distraction.,No,It seems like it would be a distraction.,No,No,No,Yes,36.0,F,United States of America,Washington,United States of America,Washington
26-100,1.0,1.0,No,"I want to maintain my privacy. Unless I end up with a physical health issue that would affect my work, I don't think it's their business",No,"I want to maintain my privacy. Unless I end up with a physical health issue that would affect my work, I don't think it's their business",No,No,No,No,38.0,Female,United States of America,Georgia,United States of America,Georgia
100-500,0.0,1.0,No,Fear of not getting the job,No,Fear of not getting the job,No,Maybe,No,Don't Know,35.0,Male,Switzerland,,Switzerland,
,,,Maybe,ok,No,ok,"Yes, I experienced",No,No,Possibly,36.0,male,India,,India,
100-500,0.0,1.0,No,Fearful of not getting job.  ,No,Fearful of not getting job.  ,"Yes, I experienced",No,Possibly,Yes,40.0,M,United States of America,Pennsylvania,United States of America,Pennsylvania
100-500,1.0,1.0,No,You will not get the job if you have anything wrong with you mental or physical. ,No,You will not get the job if you have anything wrong with you mental or physical. ,"Yes, I experienced",Yes,Yes,Yes,35.0,Male,United States of America,Tennessee,United States of America,Tennessee
More than 1000,1.0,1.0,No,,No,,Maybe/Not sure,No,No,No,23.0,Male,Russia,,Russia,
More than 1000,1.0,1.0,Maybe,"If it was relevant to the job, I would bring it up.",No,"If it was relevant to the job, I would bring it up.",Maybe/Not sure,Maybe,,Yes,22.0,Female,United States of America,Louisiana,United States of America,Washington
26-100,1.0,0.0,Yes,I am not ashamed of it,No,I am not ashamed of it,No,Maybe,Yes,Yes,34.0,female,United States of America,California,United States of America,California
100-500,0.0,1.0,Maybe,If needed and I felt like it was relevant I would but I would keep discussion of illness out of the interview for fear of not getting a job,No,If needed and I felt like it was relevant I would but I would keep discussion of illness out of the interview for fear of not getting a job,"Yes, I experienced",Yes,No,Yes,28.0,Male,United States of America,Ohio,United States of America,Ohio
26-100,0.0,1.0,Yes,its need to live,Yes,its need to live,"Yes, I experienced",Yes,No,Possibly,38.0,male,Bangladesh,,Bangladesh,
,,,No,I would fear it may bias the interview outcome.,No,I would fear it may bias the interview outcome.,No,,No,No,53.0,Male,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Yes,If it's relevant to the work - of course.i would be honest. ,Maybe,If it's relevant to the work - of course.i would be honest. ,No,No,Possibly,Possibly,21.0,Male,Germany,,Germany,
More than 1000,0.0,1.0,Yes,"I would bring up the issue of physical health because a) it's visible anyway, b) I want them to know my circumstances and that they are willing to employ me irrespective of them",Maybe,"I would bring up the issue of physical health because a) it's visible anyway, b) I want them to know my circumstances and that they are willing to employ me irrespective of them",Maybe/Not sure,,No,Don't Know,35.0,F,United Kingdom,,United Kingdom,
25-Jun,1.0,1.0,No,,No,,No,,Possibly,Possibly,22.0,Male,United Kingdom,,United Kingdom,
100-500,0.0,0.0,Yes,,No,,No,,Possibly,Possibly,18.0,Male,United Kingdom,,United Kingdom,
